,project,R1,R5,R10,number-of-commits,number-of-entities,number-of-entities-changed,number-of-authors,max-age-months,avg-age-months,avg2-degree-coupling,avg2-strength-communication,avg2-author-revs-effort,avg2-total-revs-effort,avg2-ownership-added,avg2-ownership-deleted,avg-author-churn-added,avg-author-churn-deleted,avg-author-churn-commits,avg-entity-churn-added,avg-entity-churn-deleted,avg-entity-churn-commits,avg-fragmentation-fractal-value,avg-fragmentation-total-revs,avg-main-dev-ownership,avg-refactoring-main-dev-ownership,avg-revisions,avg-soc
18,jspecify,0.9647,0.8357,0.6984,579,664,2800,22,77,26.876506024096386,62.15,9.486943034371263,1.978431583476764,4.216867469879518,56.705631454388985,32.189832544463556,4218.090909090909,2378.909090909091,26.318181818181817,139.75602409638554,78.81927710843374,4.216867469879518,0.25744126506024134,4.216867469879518,0.727740963855423,0.5825753012048196,4.216867469879518,386.05383360522023
19,jaf-api,0.9874,0.9384,0.8807,139,205,512,16,77,46.46829268292683,71.66666666666667,16.365902153402153,1.348664343786295,2.497560975609756,53.83759581881533,21.80548199767712,1092.4375,515.5,8.6875,85.26341463414634,40.234146341463415,2.497560975609756,0.1753170731707317,2.497560975609756,0.8134146341463414,0.6178048780487805,2.497560975609756,52.78238341968912
20,hibernate-orm,0.5,0.0312,0.001,20423,80714,246928,740,212,106.6084570210868,55.07319281910901,4.094063205515147,1.426884695635305,3.0592957851178233,40.57309409370926,28.911821718419656,8606.351351351352,6096.564864864865,27.59864864864865,78.90452709567114,55.894367767673515,3.0592957851178233,0.19787806328518961,3.0592957851178233,0.6598463711375769,0.550359169412972,3.0592957851178233,6085.410175608021
21,micrometer,0.8442,0.4289,0.1839,4880,5285,39830,317,94,49.44124881740776,57.62953352067571,13.289840124982387,2.3447958303510195,7.5364238410596025,41.24183124090345,26.667096133150412,2072.006309148265,1523.3690851735016,15.394321766561514,124.28117313150426,91.37332071901608,7.5364238410596025,0.2620435193945154,7.5364238410596025,0.7969744560075679,0.7254493850520359,7.5364238410596025,1480.1932109729623
22,caffeine,0.9217,0.6653,0.4426,2291,1770,16139,71,122,54.311299435028246,48.65172360555308,24.775941785551762,6.0879566854990586,9.118079096045198,127.655790960452,61.185164783427496,3930.0704225352115,2004.6760563380283,32.267605633802816,157.64689265536722,80.4135593220339,9.118079096045198,0.04751807909604521,9.118079096045198,0.8523502824858764,0.7095819209039554,9.118079096045198,267.63786008230454
23,reactor-core,0.7259,0.2016,0.0406,3984,5955,29720,245,111,74.81914357682619,59.183158158158164,16.750422648464507,1.8211951665948014,4.990764063811922,72.89280817532882,33.06782011837919,3430.9142857142856,1694.1714285714286,16.261224489795918,141.15432409739714,69.70142737195634,4.990764063811922,0.1655177162048712,4.990764063811922,0.5965356842989066,0.48530478589420767,4.990764063811922,1020.092740534908
24,bootstrap,0.5624,0.0563,0.0032,18720,7364,65226,1613,166,83.50909831613254,55.78192064265284,24.352541031588633,1.9842146665749987,8.857414448669202,43.30603125656772,37.0558942660247,916.8109113453193,818.5009299442033,11.605703657780532,200.8169473112439,179.2832699619772,8.857414448669202,0.1807585551330818,8.857414448669202,0.4071347093970678,0.39530010863661136,8.857414448669202,298.4685646500593
25,thymeleaf,0.9198,0.6585,0.4336,5230,22200,42433,48,167,43.01954954954955,66.35178153069491,8.237706594090385,1.4885192692692693,1.9113963963963965,28.004163913913917,16.01843343343343,17628.541666666668,10792.9375,108.95833333333333,38.115765765765765,23.33608108108108,1.9113963963963965,0.023782297297297285,1.9113963963963965,0.527977927927924,0.3247238738738733,1.9113963963963965,2092.3168593979444
26,spring-framework,0.6581,0.1235,0.0152,29217,38993,199825,1124,199,111.54530300310311,51.82613107043132,8.056287268073563,1.5939514909877242,5.124637755494576,39.855951026425586,19.96497259142189,3421.047153024911,2008.5400355871886,25.993772241992882,98.61403328802605,57.897545713333166,5.124637755494576,0.26040797066142307,5.124637755494576,0.6283525248121433,0.5075972610468482,5.124637755494576,4901.620682239724
27,spring-data-jpa,0.9677,0.8485,0.72,2340,1868,12598,162,171,39.16488222698073,50.44877192982456,16.986528054555187,1.9210968655317753,6.744111349036403,28.901613016720795,11.920233674248662,1128.7037037037037,517.7592592592592,14.444444444444445,97.88543897216275,44.90203426124197,6.744111349036403,0.31275321199143485,6.744111349036403,0.5592130620985016,0.48563169164882236,6.744111349036403,1041.1180709534367
28,slf4j-api,0.9362,0.7194,0.5175,1958,1259,9882,99,238,130.2065131056394,58.075628774716634,16.09743366929587,3.7653967087634164,7.8490865766481335,83.04511458122303,65.53336695284983,1844.3737373737374,1497.6767676767677,19.77777777777778,145.03018268467036,117.76806989674344,7.8490865766481335,0.10401667990468608,7.8490865766481335,0.769968228752979,0.7196822875297864,7.8490865766481335,248.7094774136404
29,jackson-annotations,0.991,0.9559,0.9138,824,2224,5474,46,158,25.60206834532374,45.72222222222222,35.88406973461322,2.0981652178257395,2.4613309352517985,234.02340627498,232.2732414068745,11474.065217391304,11280.04347826087,17.91304347826087,237.3232913669065,233.31025179856115,2.4613309352517985,0.01060431654676259,2.4613309352517985,0.9792491007194236,0.9739118705035973,2.4613309352517985,3170.712920837125
30,org.aspectj,0.7672,0.2657,0.0706,8874,18670,52238,27,266,152.75709694697375,65.07861041221602,2.636763089299321,1.6446864080393808,2.797964649169791,82.1958619634249,34.48169312877802,83120.33333333333,42305.96296296296,328.6666666666667,120.20615961435458,61.181628280664164,2.797964649169791,0.15682592394215525,2.797964649169791,0.7722528119978526,0.4144665238350288,2.797964649169791,711.9020803443328
31,jta-api,0.9867,0.9351,0.8744,124,113,304,15,82,62.50442477876106,37.5,24.295641025641025,1.2922461019806153,2.690265486725664,54.45564686051412,5.250821744627054,643.6,131.53333333333333,8.266666666666667,85.43362831858407,17.460176991150444,2.690265486725664,0.17017699115044252,2.690265486725664,0.654070796460177,0.487787610619469,2.690265486725664,23.28440366972477
32,snakeyaml,0.9515,0.7798,0.6081,1685,1550,13037,60,191,96.2141935483871,55.84761904761904,13.168196395133391,3.0711145091467675,8.410967741935483,45.45540336545176,24.687363915654235,3204.5333333333333,1981.6,28.083333333333332,124.04645161290323,76.70709677419354,8.410967741935483,0.2698916129032261,8.410967741935483,0.7574967741935473,0.510161290322581,8.410967741935483,2422.7639885222384
33,persistence,0.9786,0.8976,0.8057,277,896,2194,23,76,50.79575892857143,46.333333333333336,11.511724386724387,1.6194382440476187,2.4486607142857144,107.45691964285713,62.60146949404763,7612.521739130435,4915.260869565217,12.043478260869565,195.41071428571428,126.17299107142857,2.4486607142857144,0.1203794642857138,2.4486607142857144,0.7021986607142855,0.670267857142857,2.4486607142857144,296.76670441676106
34,jackson-core,0.9412,0.7387,0.5456,2663,6478,19226,106,158,28.12565606668725,42.55555555555555,19.722596312192238,2.0693452507574515,2.9678913244828653,401.31960985634095,390.25291150627174,26679.688679245282,25279.603773584906,25.12264150943396,436.5617474529176,413.65205310280953,2.9678913244828653,0.0556962025316455,2.9678913244828653,0.97600802716888,0.9631290521765982,2.9678913244828653,7205.847514340344
35,hibernate-validator,0.9156,0.6434,0.4139,4675,10674,36197,123,210,125.64230841296609,55.93899816715731,7.820792673398603,1.6131790982518568,3.3911373430766347,36.29342030794536,28.138936829662363,5082.772357723577,3645.6341463414633,38.00813008130081,58.57045156454937,42.00983698707139,3.3911373430766347,0.16617453625632916,3.3911373430766347,0.6530916245081501,0.6143816750983679,3.3911373430766347,988.4563445867287
36,reactive-streams-jvm,0.9757,0.8841,0.7816,378,205,1122,42,132,86.11219512195122,56.75,27.39203423985649,1.4757998723891719,5.4731707317073175,37.40873233855925,15.26496293722887,686.9047619047619,302.8809523809524,9.0,140.73170731707316,62.05365853658537,5.4731707317073175,0.34878048780487797,5.4731707317073175,0.7451707317073171,0.6958048780487803,5.4731707317073175,66.92039800995025
37,spring-petclinic,0.9825,0.9155,0.8381,892,1896,5455,130,190,110.58175105485232,56.774897959183676,23.07723951195378,1.6457775756826387,2.87710970464135,102.3777943765681,93.05005206789227,2027.4846153846154,1825.7307692307693,6.861538461538461,139.01529535864978,125.18196202531645,2.87710970464135,0.19874999999999962,2.87710970464135,0.6617141350210971,0.6294778481012663,2.87710970464135,1145.555066079295
38,spring-boot,0.598,0.0765,0.0059,35581,39298,184016,1389,142,69.29675810473816,56.01377013941064,13.29467367839391,1.5405697627613362,4.682579266120413,23.333257607174836,11.382095325564716,1605.8516918646508,925.7314614830814,25.61627069834413,56.75932617436002,32.72026566237468,4.682579266120413,0.21976054761053768,4.682579266120413,0.6618321543080999,0.5486780497735143,4.682579266120413,1480.8381063705435
39,jakarta.xml.bind-api,0.9823,0.9144,0.8362,175,577,1143,20,77,48.93067590987868,62.86296296296296,10.080052213868004,1.3873772385904102,1.9809358752166377,75.73974581166956,27.165077989601386,3706.6,1707.7,8.75,128.47833622183708,59.19237435008665,1.9809358752166377,0.07707105719237434,1.9809358752166377,0.8624610051993067,0.6446447140381283,1.9809358752166377,101.93682310469315
